Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LaMarcus Aldridge,C,36,BRK,40,11,22.8,5.8,10.3,.557,0.3,1.0,.308,5.5,9.4,.583,.571,1.9,2.2,.860,1.6,4.1,5.7,0.9,0.3,1.1,1.0,1.8,13.7
Jarrett Allen,C,23,CLE,51,51,32.6,6.5,9.9,.664,0.0,0.2,.100,6.5,9.7,.675,.665,3.0,4.3,.700,3.6,7.4,11.0,1.8,0.7,1.4,1.7,1.8,16.1
Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
Marvin Bagley III,PF,22,DET,3,0,23.7,5.0,10.0,.500,0.0,1.3,.000,5.0,8.7,.577,.500,0.7,2.3,.286,2.3,3.7,6.0,0.3,0.0,0.3,0.3,2.0,10.7
LaMelo Ball,PG,20,CHO,53,53,32.7,7.2,16.9,.423,2.7,7.3,.367,4.5,9.6,.467,.503,3.1,3.6,.857,1.6,5.5,7.1,7.5,1.6,0.4,3.2,3.2,20.0
Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,.423,3.1,7.4,.423,1.5,3.5,.423,.567,0.6,0.8,.750,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
Cat Barber,PG,27,ATL,3,0,4.3,0.0,1.3,.000,0.0,0.0,0,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
Will Barton,SG,31,DEN,52,52,32.3,5.9,13.1,.449,2.3,6.0,.373,3.6,7.1,.515,.535,1.4,1.8,.798,0.6,4.3,5.0,3.9,0.8,0.5,1.9,1.5,15.5
Jordan Bell,C,27,CHI,1,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
DeAndre' Bembry,SF,27,BRK,48,20,19.8,2.5,4.4,.568,0.3,0.8,.417,2.2,3.7,.599,.603,0.4,0.7,.600,0.8,2.4,3.2,1.3,1.0,0.5,0.6,2.2,5.8
Dāvis Bertāns,PF,29,DAL,2,0,15.5,2.5,7.5,.333,2.0,7.0,.286,0.5,0.5,1.000,.467,0.5,0.5,1.000,0.5,2.0,2.5,1.0,0.0,0.0,0.0,2.0,7.5
Saddiq Bey,SF,22,DET,59,59,33.5,5.4,14.0,.386,2.5,7.4,.342,2.8,6.5,.435,.477,2.4,2.9,.830,1.4,4.3,5.8,2.8,0.9,0.2,1.3,1.6,15.7
Nemanja Bjelica,C,33,GSW,54,0,15.2,2.3,5.0,.459,0.8,2.2,.339,1.5,2.7,.558,.535,0.8,1.2,.682,0.8,3.0,3.9,1.9,0.6,0.3,1.1,1.6,6.1
Bogdan Bogdanović,SG,29,ATL,41,26,29.0,5.0,11.5,.434,2.5,6.7,.377,2.5,4.8,.515,.544,1.1,1.4,.786,0.4,3.5,3.9,3.0,1.0,0.2,1.1,2.1,13.6
Bol Bol,PF,22,DEN,14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
James Bouknight,SG,21,CHO,28,0,10.6,1.7,4.9,.353,0.6,1.8,.347,1.1,3.1,.356,.415,1.0,1.1,.871,0.8,1.0,1.7,0.8,0.3,0.0,0.5,1.0,5.0
Tony Bradley,C,24,CHI,45,7,11.1,1.4,2.4,.579,0.0,0.0,0,1.4,2.4,.579,.579,0.3,0.5,.667,1.3,2.4,3.7,0.5,0.2,0.7,0.6,1.2,3.1
Miles Bridges,PF,23,CHO,58,58,36.3,7.4,15.4,.481,1.8,5.9,.308,5.6,9.5,.589,.540,3.3,4.2,.798,1.2,6.0,7.2,3.6,1.0,0.9,2.0,2.6,20.0
Bruce Brown,SF,25,BRK,51,24,21.5,2.7,5.6,.483,0.3,0.9,.318,2.5,4.8,.512,.507,0.9,1.2,.730,1.3,3.1,4.4,1.4,1.0,0.5,0.6,2.4,6.6
Charlie Brown Jr.,SG,24,DAL,3,0,5.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.0,0.0,0,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7
Chaundee Brown Jr.,SG,23,ATL,3,2,27.7,3.0,8.3,.360,2.0,5.0,.400,1.0,3.3,.300,.480,1.7,2.0,.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7
Jaylen Brown,SF,25,BOS,47,47,34.2,8.6,18.7,.461,2.6,7.5,.350,6.0,11.2,.534,.531,3.8,5.0,.768,0.8,5.6,6.4,3.3,1.1,0.3,2.9,2.5,23.6
Moses Brown,C,22,DAL,26,1,6.5,1.0,1.9,.540,0.0,0.0,0,1.0,1.9,.540,.540,1.0,1.7,.628,0.6,1.7,2.3,0.0,0.1,0.3,0.5,1.1,3.1
Sterling Brown,SG,26,DAL,38,3,13.8,1.3,3.4,.398,0.7,2.1,.342,0.6,1.3,.490,.504,0.3,0.3,.909,0.6,2.8,3.4,0.8,0.3,0.1,0.6,1.2,3.7
Troy Brown Jr.,SF,22,CHI,49,6,18.1,1.8,4.4,.402,0.7,2.1,.333,1.0,2.2,.468,.484,0.4,0.5,.760,0.7,2.8,3.5,1.1,0.6,0.1,0.4,1.1,4.6
Jalen Brunson,PG,25,DAL,58,40,32.1,6.5,12.9,.503,1.2,3.1,.372,5.3,9.8,.544,.548,2.2,2.7,.813,0.6,3.3,3.8,5.4,0.9,0.1,1.7,1.9,16.3
Reggie Bullock,SF,30,DAL,49,18,25.3,2.8,6.8,.415,1.9,5.2,.363,0.9,1.6,.582,.554,0.6,0.7,.857,0.4,3.0,3.4,1.0,0.5,0.1,0.5,1.4,8.2
Trey Burke,PG,29,DAL,32,0,10.8,2.2,5.3,.415,0.7,2.2,.333,1.5,3.2,.471,.482,0.5,0.5,.941,0.1,0.8,0.9,1.4,0.3,0.0,0.7,1.0,5.7
Facundo Campazzo,PG,30,DEN,55,4,20.0,1.9,5.0,.378,1.0,3.2,.320,0.9,1.8,.485,.482,1.1,1.3,.806,0.4,1.5,1.9,3.7,1.1,0.4,1.1,2.0,5.9
Vlatko Čančar,PF,24,DEN,14,1,10.9,1.6,2.8,.564,0.5,0.9,.583,1.1,1.9,.556,.654,0.6,0.9,.750,0.4,1.2,1.6,0.9,0.1,0.2,0.6,0.9,4.3
Clint Capela,C,27,ATL,51,50,28.1,4.8,8.2,.587,0.0,0.0,.000,4.8,8.2,.589,.587,1.1,2.4,.467,3.8,8.4,12.2,1.4,0.7,1.4,0.6,2.2,10.8
Vernon Carey Jr.,C,20,CHO,4,1,4.3,0.8,1.5,.500,0.0,0.0,0,0.8,1.5,.500,.500,0.5,0.8,.667,0.8,0.5,1.3,0.0,0.3,0.0,0.3,0.3,2.0
Jevon Carter,PG,26,BRK,46,1,12.0,1.3,3.8,.333,0.9,2.8,.331,0.3,1.0,.340,.454,0.2,0.2,.700,0.2,1.3,1.5,1.0,0.3,0.2,0.6,1.0,3.6
Alex Caruso,SG,27,CHI,28,9,27.7,2.8,6.5,.429,1.1,3.1,.345,1.7,3.4,.505,.511,1.7,2.1,.814,0.9,3.0,3.9,3.9,1.9,0.4,1.4,2.4,8.4
Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,.457,0.1,0.1,.500,0.8,1.8,.455,.471,0.1,0.1,.500,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
Chris Chiozza,PG,26,GSW,26,1,10.7,0.7,2.5,.292,0.6,1.7,.372,0.1,0.8,.136,.415,0.0,0.0,1.000,0.3,0.8,1.2,1.8,0.3,0.0,0.8,0.9,2.1
Marquese Chriss,PF,24,DAL,23,0,11.1,2.1,4.4,.475,0.3,0.9,.333,1.8,3.5,.513,.510,0.5,0.8,.632,1.0,2.5,3.5,0.5,0.5,0.4,0.7,2.1,5.0
Nic Claxton,C,22,BRK,26,18,20.8,4.0,6.2,.644,0.0,0.0,0,4.0,6.2,.644,.644,1.2,2.0,.566,2.1,3.3,5.4,0.8,0.5,1.1,0.7,2.2,9.1
John Collins,PF,24,ATL,50,50,31.3,6.5,12.1,.537,1.2,3.2,.388,5.3,8.9,.591,.588,2.5,3.2,.794,1.8,6.1,7.9,1.9,0.6,1.1,1.1,3.1,16.8
Tyler Cook,PF,24,CHI,19,2,10.3,1.2,1.9,.611,0.0,0.0,0,1.2,1.9,.611,.611,1.1,1.6,.645,0.8,1.9,2.7,0.2,0.2,0.2,0.4,1.4,3.4
Sharife Cooper,PG,20,ATL,11,0,3.2,0.3,1.3,.214,0.1,0.5,.167,0.2,0.7,.250,.250,0.0,0.0,0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.1,0.6
Petr Cornelie,PF,26,DEN,13,0,2.9,0.4,1.2,.333,0.1,0.6,.125,0.3,0.5,.571,.367,0.2,0.3,.750,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1
DeMarcus Cousins,C,31,DEN,8,0,13.1,1.9,6.4,.294,0.6,2.3,.278,1.3,4.1,.303,.343,1.8,2.5,.700,2.0,4.3,6.3,1.1,0.6,0.3,2.3,2.9,6.1
Cade Cunningham,PG,20,DET,45,45,31.8,5.9,15.2,.390,2.0,6.1,.322,4.0,9.1,.436,.455,1.9,2.2,.860,1.0,4.5,5.5,5.2,1.3,0.7,3.5,3.0,15.8
Seth Curry,SG,31,BRK,4,4,32.8,7.8,15.5,.500,3.5,7.5,.467,4.3,8.0,.531,.613,0.3,0.3,1.000,0.3,4.5,4.8,4.0,0.3,0.0,2.3,1.8,19.3
Stephen Curry,PG,33,GSW,55,55,34.7,8.3,19.4,.428,4.6,12.2,.378,3.7,7.3,.511,.546,4.4,4.8,.921,0.6,4.7,5.3,6.5,1.4,0.4,3.2,2.1,25.7
Ed Davis,C,32,CLE,19,3,7.5,0.5,0.7,.643,0.0,0.0,0,0.5,0.7,.643,.643,0.2,0.4,.375,0.4,1.9,2.3,0.3,0.2,0.4,0.3,1.4,1.1
DeMar DeRozan,PF,32,CHI,56,56,35.7,10.4,19.9,.521,0.6,1.8,.353,9.7,18.1,.538,.537,6.9,8.0,.864,0.8,4.4,5.2,5.1,0.9,0.3,2.3,2.2,28.3
Cheick Diallo,C,25,DET,3,0,10.3,1.0,2.7,.375,0.0,0.0,0,1.0,2.7,.375,.375,1.7,2.0,.833,1.3,2.7,4.0,0.0,0.3,0.0,0.3,2.0,3.7
Hamidou Diallo,SG,23,DET,52,29,22.5,4.6,9.3,.497,0.4,1.7,.267,4.2,7.6,.547,.521,1.6,2.4,.661,1.2,3.7,4.9,1.3,1.2,0.3,1.0,2.6,11.3
Gorgui Dieng,C,32,ATL,37,3,9.0,1.2,2.6,.479,0.6,1.5,.426,0.6,1.1,.548,.599,0.5,0.6,.708,0.9,2.2,3.0,0.8,0.3,0.4,0.5,1.2,3.6
Spencer Dinwiddie,PG,28,DAL,2,0,27.0,2.5,5.0,.500,0.5,2.5,.200,2.0,2.5,.800,.550,0.5,3.0,.167,0.5,2.5,3.0,3.0,1.0,0.0,0.0,2.0,6.0
Luka Dončić,PG,22,DAL,44,44,35.4,9.7,21.7,.449,2.8,8.3,.335,7.0,13.4,.520,.513,5.3,7.3,.731,0.9,8.3,9.2,9.0,1.1,0.5,4.4,2.4,27.5
Ayo Dosunmu,SG,22,CHI,55,21,26.1,3.3,6.2,.523,0.9,2.3,.413,2.3,3.9,.588,.599,0.8,1.1,.677,0.3,2.5,2.9,3.1,0.7,0.4,1.2,2.3,8.2
Devon Dotson,PG,22,CHI,11,0,7.7,1.0,2.1,.478,0.2,0.8,.222,0.8,1.3,.643,.522,0.5,0.8,.556,0.1,0.7,0.8,1.4,0.1,0.0,0.5,1.0,2.6
Jeff Dowtin,PG,24,GSW,4,0,7.0,0.8,1.5,.500,0.0,0.3,.000,0.8,1.3,.600,.500,0.0,0.0,0,0.3,1.5,1.8,0.8,0.0,0.3,0.3,0.5,1.5
PJ Dozier,SG,25,DEN,18,0,18.9,2.0,5.5,.364,0.8,2.7,.313,1.2,2.8,.412,.439,0.6,0.7,.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
Andre Drummond,C,28,BRK,4,4,21.3,4.0,8.0,.500,0.0,0.3,.000,4.0,7.8,.516,.500,1.8,3.8,.467,3.3,7.5,10.8,2.0,1.3,0.8,1.8,2.5,9.8
David Duke Jr.,PG,22,BRK,20,7,16.0,1.9,5.0,.370,0.5,1.8,.257,1.4,3.3,.431,.415,0.9,1.1,.810,1.5,1.8,3.3,0.8,0.7,0.4,0.5,1.7,5.0
Kevin Durant,PF,33,BRK,36,36,36.5,10.5,20.3,.520,1.9,5.0,.372,8.7,15.3,.568,.566,6.3,7.1,.894,0.6,6.9,7.4,5.8,0.8,0.9,3.0,1.9,29.3
Kessler Edwards,SF,21,BRK,29,20,24.4,2.6,6.3,.408,1.1,3.2,.351,1.4,3.1,.467,.497,0.3,0.4,.833,1.1,3.2,4.3,0.7,0.8,0.6,1.0,2.0,6.7
James Ennis III,SF,31,BRK,2,0,7.0,1.0,3.5,.286,0.5,1.0,.500,0.5,2.5,.200,.357,0.0,0.0,0,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5
James Ennis III,SF,31,DEN,3,0,4.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3
Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,.417,0.0,0.0,0,0.5,1.1,.417,.417,0.2,0.6,.286,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1
Bruno Fernando,C,23,BOS,20,0,2.9,0.4,0.7,.500,0.1,0.1,1.000,0.3,0.7,.462,.536,0.2,0.3,.800,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0
Dorian Finney-Smith,PF,28,DAL,58,58,32.9,3.7,8.4,.442,1.9,5.1,.372,1.8,3.3,.550,.555,0.8,1.1,.682,1.6,3.2,4.8,1.9,1.2,0.5,1.1,2.3,10.1
Bryn Forbes,SG,28,DEN,16,0,20.1,3.9,8.4,.459,1.8,4.1,.439,2.1,4.3,.478,.567,0.9,0.9,.933,0.1,1.0,1.1,1.2,0.2,0.1,0.8,1.8,10.4
Enes Freedom,C,29,BOS,35,1,11.7,1.5,2.8,.526,0.1,0.1,.400,1.4,2.6,.533,.536,0.7,0.8,.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7
Wenyen Gabriel,PF,24,BRK,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilo Gallinari,PF,33,ATL,48,5,23.7,3.5,8.1,.425,1.6,4.0,.397,1.9,4.1,.452,.523,2.4,2.6,.905,0.6,3.9,4.5,1.3,0.5,0.2,0.6,1.5,10.9
Langston Galloway,SG,30,BRK,4,0,14.5,1.3,3.3,.385,0.5,2.0,.250,0.8,1.3,.600,.462,0.0,0.0,0,0.3,1.8,2.0,1.3,0.0,0.0,1.3,1.3,3.0
Darius Garland,PG,22,CLE,47,47,34.6,7.8,16.3,.477,2.6,6.8,.378,5.2,9.5,.547,.555,2.2,2.4,.911,0.5,2.8,3.3,8.0,1.2,0.1,3.7,1.7,20.3
Luka Garza,C,23,DET,29,5,11.7,1.9,4.3,.444,0.5,1.4,.341,1.4,2.9,.494,.500,0.9,1.4,.643,1.7,1.3,3.0,0.6,0.3,0.1,0.6,1.7,5.2
Brandon Goodwin,PG,26,CLE,17,3,16.4,2.3,5.7,.402,0.8,2.3,.359,1.5,3.4,.431,.474,0.5,0.9,.533,0.5,2.0,2.5,3.2,1.0,0.0,1.1,1.4,5.9
Aaron Gordon,PF,26,DEN,54,54,31.8,5.6,10.9,.518,1.1,3.5,.332,4.5,7.4,.605,.571,2.1,2.8,.735,1.7,4.1,5.8,2.6,0.7,0.5,1.8,1.9,14.5
Jerami Grant,PF,27,DET,34,34,32.2,6.2,15.1,.411,1.8,5.2,.337,4.4,9.9,.451,.470,4.7,5.6,.839,0.7,3.6,4.2,2.5,1.0,1.1,2.0,2.2,18.9
Draymond Green,PF,31,GSW,34,34,29.9,3.2,5.9,.537,0.4,1.2,.286,2.8,4.7,.604,.567,1.2,2.0,.597,1.1,6.4,7.6,7.4,1.4,1.2,3.1,2.8,7.9
JaMychal Green,PF,31,DEN,46,7,14.9,2.3,5.0,.457,0.6,2.2,.280,1.7,2.8,.592,.517,1.2,1.4,.877,1.0,2.7,3.7,0.8,0.7,0.4,0.9,2.3,6.4
Javonte Green,SF,28,CHI,43,32,24.3,2.8,5.2,.538,0.5,1.5,.333,2.3,3.7,.624,.587,1.5,1.8,.829,1.6,2.8,4.4,1.1,0.9,0.6,0.6,2.1,7.6
Jeff Green,C,35,DEN,55,43,24.5,3.7,7.4,.506,0.8,2.4,.321,2.9,4.9,.598,.559,2.1,2.5,.827,0.5,2.6,3.1,1.3,0.3,0.4,0.9,2.1,10.3
Josh Green,SG,21,DAL,44,2,14.4,1.8,3.5,.503,0.3,0.9,.308,1.5,2.6,.569,.542,0.6,0.8,.714,0.7,1.5,2.2,1.3,0.7,0.2,0.5,1.7,4.4
Blake Griffin,PF,32,BRK,49,24,18.0,2.4,5.9,.417,0.6,2.7,.237,1.8,3.2,.567,.470,1.0,1.4,.729,1.1,3.1,4.3,2.0,0.5,0.3,0.5,1.7,6.6
Tim Hardaway Jr.,SG,29,DAL,42,20,29.6,5.0,12.6,.394,2.4,7.2,.336,2.5,5.4,.473,.491,1.9,2.5,.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2
James Harden,PG,32,BRK,44,44,37.0,6.6,16.0,.414,2.3,7.0,.332,4.3,9.1,.476,.486,6.9,8.0,.869,1.0,7.0,8.0,10.2,1.3,0.7,4.8,2.4,22.5
Montrezl Harrell,C,28,CHO,4,0,32.0,7.0,10.8,.651,0.0,0.0,0,7.0,10.8,.651,.651,3.8,6.3,.600,3.0,4.8,7.8,1.3,0.8,1.0,1.8,3.0,17.8
Joe Harris,SF,30,BRK,14,14,30.2,4.0,8.9,.452,2.9,6.3,.466,1.1,2.6,.417,.617,0.4,0.4,.833,0.4,3.6,4.0,1.0,0.5,0.1,1.1,2.2,11.3
Shaquille Harrison,SG,28,BRK,2,0,11.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,0,0.5,1.5,2.0,1.5,0.5,0.5,1.0,1.5,2.0
Sam Hauser,SF,24,BOS,12,0,5.0,0.6,1.7,.350,0.6,1.7,.350,0.0,0.0,0,.525,0.0,0.0,0,0.1,0.6,0.7,0.3,0.1,0.1,0.1,0.3,1.8
Killian Hayes,PG,20,DET,47,33,24.4,2.3,6.4,.360,0.7,2.4,.272,1.6,4.0,.414,.412,0.9,1.0,.816,0.5,2.4,2.9,4.1,1.0,0.5,1.7,2.6,6.1
Gordon Hayward,SF,31,CHO,48,48,32.2,5.9,12.7,.460,1.8,4.5,.390,4.1,8.2,.499,.529,2.6,3.1,.846,0.8,3.8,4.6,3.6,1.0,0.5,1.7,1.8,16.1
Juancho Hernangómez,PF,26,BOS,18,0,5.3,0.3,1.5,.185,0.2,1.0,.167,0.1,0.5,.222,.241,0.3,0.5,.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1
Malcolm Hill,SG,26,ATL,3,0,15.3,1.7,2.7,.625,1.0,1.7,.600,0.7,1.0,.667,.813,1.3,1.3,1.000,0.7,1.3,2.0,0.3,1.3,0.3,0.0,2.3,5.7
Malcolm Hill,SF,26,CHI,13,0,11.5,1.4,3.1,.450,0.8,2.2,.357,0.6,0.9,.667,.575,0.5,0.8,.700,0.7,1.3,2.0,0.2,0.2,0.2,0.2,1.1,4.1
Solomon Hill,PF,30,ATL,13,1,10.7,0.2,1.5,.150,0.2,1.0,.154,0.1,0.5,.143,.200,0.0,0.0,0,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
Al Horford,C,35,BOS,52,52,28.3,3.8,8.5,.446,1.2,4.0,.303,2.6,4.5,.572,.517,1.3,1.5,.835,1.6,6.1,7.6,3.4,0.6,1.3,1.0,1.8,10.1
Markus Howard,SG,22,DEN,23,0,5.9,1.2,3.2,.365,1.0,2.3,.426,0.2,0.9,.200,.520,0.6,0.6,.929,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.5,3.9
Kevin Huerter,SG,23,ATL,52,38,29.1,4.5,9.9,.460,1.9,5.1,.374,2.6,4.8,.552,.557,0.6,0.7,.811,0.4,2.7,3.2,2.8,0.6,0.3,1.3,2.3,11.6
De'Andre Hunter,SF,24,ATL,31,30,28.6,4.7,10.6,.442,1.4,3.6,.375,3.3,7.0,.477,.506,2.0,2.7,.726,0.5,2.8,3.3,1.2,0.6,0.4,1.3,3.0,12.7
Bones Hyland,PG,21,DEN,47,3,18.0,2.9,8.0,.365,1.7,5.0,.342,1.2,3.1,.403,.471,1.1,1.3,.867,0.2,2.6,2.7,2.0,0.5,0.3,1.2,2.1,8.7
Andre Iguodala,SF,38,GSW,26,0,19.9,1.5,3.9,.392,0.5,2.3,.230,1.0,1.6,.634,.461,0.5,0.6,.813,0.7,2.6,3.3,3.8,0.8,0.8,0.9,1.0,4.1
Kyrie Irving,PG,29,BRK,14,14,36.2,9.1,20.1,.452,2.5,6.8,.368,6.6,13.3,.495,.514,3.5,3.8,.925,0.6,4.2,4.8,5.4,1.1,0.6,2.4,2.4,24.1
Wes Iwundu,SF,27,ATL,3,1,27.3,2.7,6.0,.444,1.0,1.7,.600,1.7,4.3,.385,.528,1.0,1.3,.750,1.0,3.3,4.3,0.0,0.3,0.0,0.3,2.7,7.3
Frank Jackson,PG,23,DET,43,5,22.5,3.8,9.3,.410,1.8,5.5,.319,2.1,3.8,.543,.505,1.4,1.8,.795,0.3,1.3,1.6,1.0,0.5,0.2,0.8,1.7,10.9
Josh Jackson,SF,24,DET,39,3,18.1,2.6,6.4,.410,0.8,2.9,.265,1.9,3.5,.529,.470,1.0,1.4,.714,0.4,2.7,3.2,1.3,0.5,0.5,1.0,1.8,7.1
Justin Jackson,SF,26,BOS,1,0,2.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Alize Johnson,PF,25,CHI,16,0,7.6,0.8,1.4,.522,0.0,0.1,.000,0.8,1.3,.571,.522,0.3,0.4,.571,1.0,1.3,2.3,0.5,0.2,0.0,0.5,0.9,1.8
Jalen Johnson,PF,20,ATL,14,0,4.6,0.6,1.4,.450,0.2,0.6,.375,0.4,0.9,.500,.525,0.3,0.4,.667,0.0,1.1,1.1,0.1,0.0,0.1,0.2,0.2,1.8
James Johnson,PF,34,BRK,44,7,19.5,2.6,5.5,.471,0.3,1.4,.250,2.2,4.1,.544,.502,0.5,0.9,.500,0.9,2.6,3.5,2.1,0.5,0.4,0.8,2.5,5.9
Joe Johnson,SG,40,BOS,1,0,2.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Nikola Jokić,C,26,DEN,53,53,33.1,9.9,17.4,.570,1.6,4.3,.374,8.3,13.0,.635,.617,4.5,5.6,.806,2.8,11.0,13.8,7.9,1.4,0.7,3.8,2.5,26.0
Carlik Jones,PG,24,DAL,3,0,6.3,0.0,2.3,.000,0.0,0.3,.000,0.0,2.0,.000,.000,0.7,0.7,1.000,0.3,0.7,1.0,1.7,0.3,0.0,1.0,0.0,0.7
