Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Carlik Jones,PG,24,DEN,2,0,2.0,0.5,1.0,.500,0.0,0.0,0,0.5,1.0,.500,.500,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Derrick Jones Jr.,PF,24,CHI,35,8,17.6,2.2,4.0,.543,0.5,1.2,.381,1.7,2.8,.612,.600,1.2,1.5,.824,1.3,2.1,3.4,0.5,0.5,0.7,0.5,2.3,6.0
Kai Jones,C,21,CHO,17,0,2.8,0.4,0.6,.636,0.1,0.1,.500,0.4,0.5,.667,.682,0.1,0.2,.250,0.1,0.4,0.5,0.2,0.0,0.0,0.3,0.3,0.9
Cory Joseph,PG,30,DET,48,22,24.4,2.8,6.2,.448,1.0,2.3,.429,1.8,3.9,.460,.528,1.5,1.7,.854,0.5,2.1,2.6,3.9,0.7,0.3,1.5,2.1,8.0
George King,SF,28,DAL,4,0,4.8,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,1.3,1.3,0.0,0.0,0.0,0.3,1.0,0.3
Maxi Kleber,PF,30,DAL,42,20,25.3,2.7,6.2,.435,1.7,4.5,.372,1.0,1.6,.609,.571,0.9,1.1,.771,1.3,4.7,6.0,1.1,0.5,1.0,0.7,2.3,8.0
Brandon Knight,PG,30,DAL,3,0,18.0,3.0,6.7,.450,1.3,4.3,.308,1.7,2.3,.714,.550,2.7,2.7,1.000,0.0,2.3,2.3,2.7,0.3,0.0,1.3,1.7,10.0
Kevin Knox,SF,22,ATL,9,0,7.0,0.8,2.4,.318,0.1,1.2,.091,0.7,1.2,.545,.341,0.3,0.4,.750,0.3,1.1,1.4,0.6,0.1,0.0,0.2,0.8,2.0
Luke Kornet,C,26,CLE,2,0,7.5,0.5,2.5,.200,0.0,0.5,.000,0.5,2.0,.250,.200,1.0,1.5,.667,1.0,0.5,1.5,0.5,0.0,0.5,0.0,0.5,2.0
Luke Kornet,C,26,BOS,2,0,6.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,0,0.0,1.5,1.5,0.5,1.0,0.0,0.0,0.5,0.0
Arnoldas Kulboka,SF,24,CHO,1,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,SF,19,GSW,48,7,14.7,2.9,5.7,.509,0.6,1.9,.326,2.3,3.9,.597,.562,1.7,2.5,.672,0.6,2.3,2.9,0.7,0.4,0.3,1.0,1.9,8.1
Romeo Langford,SG,22,BOS,44,5,16.5,1.8,4.2,.429,0.7,1.9,.349,1.1,2.3,.495,.508,0.5,0.8,.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1.0,4.7
Zach LaVine,SF,26,CHI,48,48,34.6,8.7,18.1,.480,2.9,7.2,.396,5.9,10.9,.536,.559,4.2,4.9,.871,0.3,4.6,4.9,4.4,0.6,0.4,2.7,1.7,24.5
Damion Lee,SG,29,GSW,48,3,20.3,2.9,6.4,.452,1.2,3.2,.368,1.7,3.1,.540,.546,0.9,1.0,.854,0.4,2.8,3.1,1.0,0.7,0.1,0.6,1.4,7.8
Saben Lee,PG,22,DET,28,0,14.5,1.6,4.4,.377,0.4,1.6,.273,1.2,2.8,.436,.426,1.2,1.5,.767,0.4,2.0,2.4,2.3,0.9,0.4,0.9,0.9,4.9
Caris LeVert,SG,27,CLE,4,1,31.0,5.8,14.5,.397,1.0,3.5,.286,4.8,11.0,.432,.431,0.8,1.0,.750,0.3,1.3,1.5,3.8,1.5,0.3,1.5,1.8,13.3
Scottie Lewis,SG,21,CHO,2,0,3.5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
Isaiah Livers,SF,23,DET,1,0,5.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Kevon Looney,C,25,GSW,60,60,21.3,2.7,4.8,.554,0.0,0.0,.000,2.7,4.8,.556,.554,1.1,1.7,.631,2.7,4.8,7.5,1.7,0.6,0.7,0.9,2.7,6.4
Kevin Love,PF,33,CLE,51,2,22.2,4.5,10.5,.424,2.5,6.4,.391,2.0,4.2,.474,.542,2.7,3.1,.850,1.1,6.2,7.3,2.1,0.3,0.2,1.3,1.2,14.1
Timothé Luwawu-Cabarrot,SF,26,ATL,36,12,12.6,1.4,3.6,.385,0.9,2.4,.368,0.5,1.2,.419,.508,0.5,0.6,.850,0.3,1.1,1.4,0.7,0.4,0.1,0.4,1.3,4.1
Trey Lyles,PF,26,DET,51,3,19.4,3.4,7.5,.456,0.9,2.9,.301,2.6,4.7,.550,.513,2.7,3.5,.784,1.2,3.6,4.8,1.1,0.4,0.5,1.1,1.8,10.4
Boban Marjanović,C,33,DAL,17,0,5.8,2.1,3.4,.632,0.1,0.2,.333,2.1,3.2,.648,.640,0.5,0.9,.500,0.4,1.4,1.8,0.1,0.0,0.1,0.6,1.2,4.8
Lauri Markkanen,PF,24,CLE,39,39,30.1,5.0,11.5,.434,2.0,5.9,.341,2.9,5.5,.535,.522,1.8,2.1,.855,1.1,4.2,5.3,1.5,0.7,0.6,0.8,1.8,13.8
Cody Martin,SF,26,CHO,49,11,27.2,2.9,6.5,.454,1.0,2.4,.410,2.0,4.1,.480,.530,1.1,1.7,.671,1.2,3.0,4.2,2.6,1.3,0.5,0.9,1.7,8.0
Skylar Mays,SG,24,ATL,23,5,9.0,1.3,2.7,.508,0.3,1.1,.320,1.0,1.6,.639,.574,0.3,0.4,.889,0.2,0.9,1.1,0.7,0.3,0.0,0.4,0.3,3.4
Mac McClung,PG,23,CHI,1,0,3.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Jalen McDaniels,SF,24,CHO,39,2,17.6,2.5,5.1,.492,0.8,2.2,.372,1.7,2.8,.586,.574,0.8,1.2,.674,0.7,2.7,3.5,1.1,0.5,0.4,0.8,1.8,6.6
Rodney McGruder,SG,30,DET,34,1,13.6,1.7,3.7,.468,1.0,2.3,.429,0.8,1.4,.531,.599,0.3,0.4,.714,0.5,1.4,1.9,0.8,0.4,0.1,0.4,1.0,4.7
Alfonzo McKinnie,SF,29,CHI,17,3,12.1,1.4,3.6,.393,0.5,1.6,.333,0.9,2.0,.441,.467,0.1,0.5,.250,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5
JaQuori McLaughlin,PG,24,DAL,4,0,2.8,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
C.J. Miles,SG,34,BOS,1,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Patty Mills,PG,33,BRK,59,42,31.0,4.6,11.1,.420,3.2,7.6,.414,1.5,3.5,.431,.562,0.7,0.9,.824,0.3,1.9,2.2,2.6,0.7,0.3,1.0,1.5,13.2
Paul Millsap,PF,36,BRK,24,0,11.3,1.3,3.5,.376,0.3,1.1,.222,1.1,2.4,.448,.412,0.5,0.7,.706,1.2,2.5,3.7,1.0,0.2,0.5,0.5,2.0,3.4
Evan Mobley,PF,20,CLE,51,51,34.1,6.0,11.9,.502,0.4,1.4,.261,5.6,10.6,.532,.516,2.5,3.7,.676,1.9,6.2,8.1,2.5,0.8,1.7,1.9,2.0,14.8
Moses Moody,SG,19,GSW,35,4,9.5,1.1,3.0,.371,0.6,1.9,.303,0.5,1.1,.487,.467,0.5,0.6,.810,0.3,1.1,1.4,0.3,0.1,0.2,0.2,0.7,3.3
Monte Morris,PG,26,DEN,53,52,30.0,5.1,10.6,.480,1.6,4.3,.382,3.5,6.3,.548,.558,0.9,1.1,.857,0.4,2.6,2.9,4.3,0.7,0.2,1.0,1.2,12.8
RJ Nembhard Jr.,SG,22,CLE,7,0,6.3,0.7,1.6,.455,0.0,0.1,.000,0.7,1.4,.500,.455,0.1,0.3,.500,0.0,0.3,0.3,1.4,0.0,0.0,0.3,0.3,1.6
Aaron Nesmith,SF,22,BOS,42,1,10.7,1.3,3.5,.384,0.5,2.2,.253,0.8,1.3,.600,.462,0.4,0.5,.842,0.3,1.4,1.7,0.4,0.3,0.1,0.6,1.3,3.6
Malik Newman,PG,24,CLE,1,0,8.0,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0
Zeke Nnaji,PF,21,DEN,39,1,16.7,2.4,4.5,.540,0.9,1.9,.487,1.5,2.6,.580,.645,1.0,1.6,.613,1.4,2.3,3.7,0.4,0.3,0.3,0.5,1.9,6.8
Frank Ntilikina,PG,23,DAL,47,5,12.5,1.5,4.0,.379,0.7,2.1,.340,0.8,1.9,.422,.468,0.5,0.5,.958,0.1,1.2,1.3,1.1,0.5,0.1,0.6,1.1,4.3
Onyeka Okongwu,C,21,ATL,27,6,21.4,3.5,4.9,.725,0.0,0.0,0,3.5,4.9,.725,.725,1.6,2.2,.717,2.3,3.2,5.4,1.2,0.7,1.4,1.1,3.2,8.6
Isaac Okoro,SF,21,CLE,44,38,28.8,3.2,6.8,.468,0.9,2.7,.325,2.3,4.1,.560,.532,1.8,2.3,.765,1.0,2.1,3.2,1.8,0.8,0.3,1.0,2.6,9.0
Cameron Oliver,SF,25,ATL,2,0,21.5,5.0,7.5,.667,0.5,1.5,.333,4.5,6.0,.750,.700,1.0,1.5,.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
Kelly Olynyk,C,30,DET,22,1,20.0,3.3,8.4,.397,1.0,3.5,.286,2.3,4.9,.477,.457,1.7,2.4,.698,1.5,3.3,4.8,2.8,0.9,0.5,1.6,2.4,9.3
Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
Cedi Osman,SF,26,CLE,47,3,22.9,3.8,9.0,.417,2.0,5.6,.358,1.7,3.4,.516,.529,1.2,1.9,.644,0.4,1.9,2.3,2.0,0.9,0.2,0.9,1.9,10.8
Kelly Oubre Jr.,SF,26,CHO,54,13,28.5,5.9,13.5,.435,2.7,8.0,.340,3.2,5.6,.571,.535,1.7,2.6,.676,1.2,2.9,4.1,1.1,1.2,0.4,1.0,2.6,16.2
Jaysean Paige,PG,27,DET,1,0,7.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
Trayvon Palmer,SG,27,DET,1,0,17.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
Kevin Pangos,PG,29,CLE,24,3,6.9,0.6,1.9,.326,0.3,1.1,.231,0.4,0.8,.450,.391,0.1,0.2,.750,0.1,0.4,0.5,1.3,0.1,0.0,0.3,0.5,1.6
Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,.474,0.7,1.3,.500,0.8,1.8,.455,.579,0.8,0.8,1.000,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
Gary Payton II,PG,29,GSW,57,11,16.6,2.9,4.6,.617,0.6,1.7,.375,2.2,2.9,.756,.686,0.5,0.9,.580,0.9,2.5,3.4,0.8,1.4,0.3,0.5,1.7,6.9
Jamorko Pickett,PF,24,DET,6,0,7.8,0.2,1.7,.100,0.2,1.2,.143,0.0,0.5,.000,.150,0.0,0.0,0,0.3,1.2,1.5,0.2,0.0,0.2,0.5,0.5,0.5
Theo Pinson,SF,26,DAL,16,0,7.5,0.6,2.0,.281,0.4,1.6,.240,0.2,0.4,.429,.375,0.3,0.3,1.000,0.1,1.1,1.2,0.8,0.3,0.1,0.1,0.6,1.8
Mason Plumlee,C,31,CHO,51,51,25.5,2.9,4.6,.631,0.0,0.0,.000,2.9,4.6,.637,.631,0.9,2.3,.379,2.6,5.4,8.0,3.1,0.9,0.6,1.4,3.1,6.7
Jordan Poole,SG,22,GSW,54,35,28.8,5.6,12.6,.439,2.3,6.9,.338,3.2,5.7,.561,.531,2.9,3.1,.923,0.5,2.6,3.1,3.5,0.8,0.3,2.3,2.6,16.3
Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,.359,1.1,5.3,.208,3.0,6.1,.491,.408,0.6,1.0,.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
Otto Porter Jr.,PF,28,GSW,49,13,21.4,3.2,6.7,.477,1.4,3.7,.389,1.8,3.0,.585,.584,0.6,0.8,.769,1.1,4.2,5.3,1.5,1.1,0.5,0.5,1.3,8.4
Kristaps Porziņģis,PF,26,DAL,34,34,29.5,6.7,14.9,.451,1.4,5.1,.283,5.3,9.9,.537,.499,4.3,5.0,.865,1.9,5.8,7.7,2.0,0.7,1.7,1.6,2.6,19.2
Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,.455,0.0,0.7,.000,1.7,3.0,.556,.455,0.7,0.7,1.000,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
Dwight Powell,C,30,DAL,59,48,20.6,2.8,4.3,.649,0.2,0.5,.387,2.6,3.7,.686,.673,1.6,2.2,.744,2.0,2.4,4.4,1.1,0.5,0.4,0.8,2.5,7.4
Payton Pritchard,SG,24,BOS,50,2,12.3,1.7,4.6,.377,1.0,2.8,.360,0.7,1.8,.404,.487,0.3,0.3,1.000,0.3,1.3,1.6,1.7,0.2,0.1,0.6,0.9,4.7
Cam Reddish,SF,22,ATL,34,7,23.4,4.1,10.1,.402,1.7,4.5,.379,2.4,5.6,.421,.487,2.1,2.4,.900,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.9
Davon Reed,SG,26,DEN,30,3,13.4,1.5,3.2,.474,0.8,1.8,.434,0.7,1.4,.524,.595,0.1,0.2,.800,0.3,2.1,2.5,1.0,0.6,0.1,0.3,1.3,3.9
Nick Richards,C,24,CHO,41,5,8.4,1.3,2.0,.679,0.0,0.0,0,1.3,2.0,.679,.679,0.7,1.0,.732,0.7,1.2,2.0,0.3,0.2,0.5,0.5,1.2,3.4
Josh Richardson,SG,28,BOS,44,0,24.7,3.5,7.8,.443,1.4,3.5,.397,2.0,4.3,.481,.534,1.4,1.6,.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7
Austin Rivers,SG,29,DEN,45,13,21.1,2.2,5.4,.416,1.2,3.5,.344,1.0,1.9,.547,.527,0.4,0.6,.704,0.3,1.4,1.7,1.2,0.8,0.1,0.9,1.6,6.1
Justin Robinson,PG,24,DET,5,0,18.2,1.8,5.6,.321,1.6,4.2,.381,0.2,1.4,.143,.464,0.4,1.2,.333,0.4,1.0,1.4,1.8,0.2,0.2,1.0,1.6,5.6
Rajon Rondo,PG,35,CLE,14,1,21.7,2.6,6.1,.424,1.2,3.3,.370,1.4,2.8,.487,.524,1.1,1.5,.762,0.2,3.1,3.4,5.0,1.0,0.0,2.0,1.6,7.5
Terry Rozier,SG,27,CHO,51,51,33.7,6.8,16.0,.428,3.0,8.2,.360,3.9,7.8,.500,.520,2.0,2.5,.819,0.8,3.5,4.3,4.3,1.1,0.4,1.3,1.6,18.7
Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,.363,1.7,5.1,.339,2.6,7.0,.380,.434,2.6,3.0,.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
Dennis Schröder,SG,28,BOS,49,25,29.2,5.2,11.9,.440,1.4,3.9,.349,3.9,8.0,.485,.497,2.5,3.0,.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4
Tre Scott,SF,25,CLE,2,0,5.5,1.5,3.0,.500,0.0,0.5,.000,1.5,2.5,.600,.500,0.0,0.0,0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0
Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,.450,1.0,4.1,.244,5.2,9.6,.538,.487,2.6,3.5,.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0
Day'Ron Sharpe,PF,20,BRK,31,8,12.2,2.6,4.6,.573,0.0,0.2,.200,2.6,4.5,.587,.577,0.8,1.3,.585,2.5,2.4,4.9,0.5,0.3,0.5,0.9,1.9,6.1
Marko Simonovic,C,22,CHI,9,0,3.9,0.4,1.7,.267,0.1,0.6,.200,0.3,1.1,.300,.300,0.9,1.2,.727,0.6,0.6,1.1,0.0,0.1,0.1,0.2,0.7,1.9
Deividas Sirvydis,SG,21,DET,3,0,9.0,0.3,3.3,.100,0.3,2.3,.143,0.0,1.0,.000,.150,0.0,0.0,0,0.0,2.0,2.0,0.3,1.0,0.3,0.0,1.3,1.0
Marcus Smart,PG,27,BOS,51,51,32.7,4.0,9.7,.416,1.5,4.8,.324,2.5,4.9,.506,.496,2.1,2.7,.783,0.6,3.3,3.9,5.4,1.8,0.3,2.1,2.4,11.7
Ish Smith,PG,33,CHO,37,1,13.8,2.0,5.0,.395,0.3,0.7,.400,1.7,4.3,.394,.422,0.3,0.5,.632,0.3,1.2,1.5,2.6,0.5,0.3,1.0,0.9,4.5
Cassius Stanley,SG,22,DET,9,1,17.2,2.1,5.1,.413,0.4,1.9,.235,1.7,3.2,.517,.457,1.1,1.1,1.000,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8
Lance Stephenson,SF,31,ATL,6,0,11.7,0.8,2.2,.385,0.0,0.5,.000,0.8,1.7,.500,.385,0.2,0.3,.500,0.2,2.3,2.5,1.8,0.0,0.0,0.7,1.3,1.8
Lamar Stevens,PF,24,CLE,42,8,14.1,2.0,4.2,.475,0.3,1.0,.295,1.7,3.2,.534,.511,0.6,1.0,.625,0.7,1.5,2.2,0.6,0.5,0.2,0.5,1.4,4.9
Isaiah Stewart,C,20,DET,51,51,25.9,3.6,6.9,.525,0.1,0.5,.160,3.6,6.5,.553,.531,1.0,1.5,.676,3.1,5.3,8.4,1.1,0.3,1.1,1.2,2.9,8.4
Jayson Tatum,SF,23,BOS,57,57,36.1,8.9,20.6,.435,2.8,8.4,.331,6.2,12.2,.506,.502,5.1,6.0,.848,1.2,7.2,8.4,4.2,1.0,0.7,2.9,2.3,25.8
Daniel Theis,C,29,BOS,3,0,13.7,2.0,2.3,.857,0.3,0.7,.500,1.7,1.7,1.000,.929,0.0,0.0,0,0.0,4.7,4.7,0.7,0.7,1.3,0.0,2.3,4.3
Brodric Thomas,SG,25,BOS,9,0,4.9,0.6,1.4,.385,0.1,0.8,.143,0.4,0.7,.667,.423,0.2,0.4,.500,0.2,0.4,0.7,0.7,0.0,0.1,0.4,0.7,1.4
Cam Thomas,SG,20,BRK,49,2,19.8,3.8,8.7,.441,0.8,3.1,.270,3.0,5.6,.537,.489,1.3,1.6,.813,0.2,2.3,2.6,1.3,0.6,0.1,0.8,1.0,9.8
Isaiah Thomas,PG,32,DAL,1,0,13.0,3.0,8.0,.375,0.0,3.0,.000,3.0,5.0,.600,.375,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
Matt Thomas,SG,27,CHI,35,0,12.8,1.4,3.6,.397,0.9,2.5,.384,0.5,1.1,.425,.528,0.5,0.6,.800,0.1,1.3,1.4,0.6,0.2,0.1,0.2,0.5,4.3
Klay Thompson,SG,31,GSW,17,17,25.2,6.2,14.6,.423,2.9,7.6,.385,3.2,6.9,.466,.524,1.8,1.9,.939,0.4,3.4,3.8,3.0,0.6,0.4,1.3,1.4,17.1
Tristan Thompson,PF,30,CHI,1,0,13.0,3.0,3.0,1.000,0.0,0.0,0,3.0,3.0,1.000,1.000,5.0,8.0,.625,2.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,11.0
JT Thor,PF,19,CHO,19,0,9.0,0.9,2.2,.405,0.4,1.3,.292,0.5,0.9,.556,.488,0.4,0.6,.667,0.5,0.9,1.4,0.7,0.3,0.4,0.3,1.0,2.6
Juan Toscano-Anderson,SF,28,GSW,57,5,14.5,1.8,3.6,.490,0.4,1.3,.303,1.4,2.3,.600,.546,0.6,1.0,.596,0.5,2.2,2.7,1.9,0.7,0.3,1.1,1.6,4.5
Rayjon Tucker,SG,24,DEN,3,0,9.7,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,0,.750,1.0,1.3,.750,0.3,1.0,1.3,1.3,0.3,0.0,0.0,1.0,2.0
Denzel Valentine,SG,28,CLE,22,0,9.3,1.0,2.8,.371,0.8,2.0,.409,0.2,0.8,.278,.516,0.0,0.0,0,0.4,1.3,1.7,0.5,0.3,0.0,0.5,0.8,2.9
Nikola Vučević,C,31,CHI,53,53,33.9,7.6,16.2,.472,1.5,4.8,.315,6.1,11.4,.538,.519,1.3,1.7,.767,2.0,9.7,11.7,3.6,1.0,1.2,1.9,2.5,18.1
Dean Wade,PF,25,CLE,44,25,19.4,2.0,4.4,.458,1.1,2.9,.372,0.9,1.4,.635,.583,0.4,0.7,.655,0.6,2.5,3.1,1.1,0.6,0.1,0.4,1.7,5.5
Derrick Walton,PG,26,DET,3,3,36.0,2.0,8.7,.231,1.0,4.3,.231,1.0,4.3,.231,.288,1.3,1.3,1.000,0.7,2.7,3.3,7.0,2.3,1.3,3.7,2.7,6.3
P.J. Washington,PF,23,CHO,43,6,25.4,3.5,7.8,.443,1.8,4.7,.376,1.7,3.1,.545,.557,1.1,1.5,.723,1.3,4.3,5.6,2.0,0.8,0.9,1.3,2.5,9.8
Quinndary Weatherspoon,SG,25,GSW,5,0,6.6,1.2,2.0,.600,0.0,0.2,.000,1.2,1.8,.667,.600,0.4,0.4,1.000,0.2,1.0,1.2,0.4,0.2,0.2,0.6,1.4,2.8
Coby White,PG,21,CHI,40,15,28.0,5.0,11.0,.452,2.4,5.9,.398,2.6,5.1,.515,.559,1.6,1.9,.840,0.3,2.7,3.0,2.8,0.5,0.3,1.2,2.4,13.9
Derrick White,SG,27,BOS,5,1,28.4,4.2,10.8,.389,1.4,5.8,.241,2.8,5.0,.560,.454,2.6,3.4,.765,1.0,3.4,4.4,3.6,1.4,0.8,1.2,3.0,12.4
Andrew Wiggins,SF,26,GSW,55,55,31.6,6.6,13.9,.478,2.3,5.5,.409,4.4,8.4,.523,.559,2.1,3.1,.653,1.0,3.2,4.2,2.1,1.0,0.7,1.4,1.9,17.6
Grant Williams,PF,23,BOS,56,15,23.4,2.6,5.3,.490,1.6,3.5,.444,1.0,1.8,.582,.638,0.8,0.9,.900,0.8,2.5,3.2,1.1,0.5,0.7,0.7,2.3,7.5
Lou Williams,PG,35,ATL,41,0,14.6,2.4,6.0,.391,0.7,2.0,.357,1.6,4.0,.409,.452,1.2,1.4,.893,0.3,1.3,1.6,2.0,0.5,0.1,0.8,0.9,6.7
Patrick Williams,PF,20,CHI,5,5,25.0,2.6,4.6,.565,0.6,1.2,.500,2.0,3.4,.588,.630,0.8,0.8,1.000,0.2,2.0,2.2,0.6,0.6,0.4,0.4,1.8,6.6
Robert Williams,C,24,BOS,48,48,29.8,4.4,6.0,.734,0.0,0.0,.000,4.4,6.0,.736,.734,1.2,1.6,.709,3.9,5.8,9.8,2.0,0.9,2.2,1.2,2.2,10.0
Dylan Windler,SF,25,CLE,37,0,9.3,0.9,2.1,.429,0.6,1.5,.389,0.3,0.6,.522,.565,0.2,0.2,.778,0.4,1.3,1.7,0.7,0.2,0.1,0.4,1.0,2.5
Delon Wright,SG,29,ATL,54,5,18.1,1.6,3.6,.443,0.5,1.4,.377,1.0,2.1,.487,.518,0.6,0.8,.833,0.6,2.2,2.9,2.4,1.0,0.2,0.6,0.7,4.3
Trae Young,PG,23,ATL,54,54,34.5,9.2,20.4,.452,2.9,7.7,.379,6.3,12.7,.496,.524,6.2,6.9,.893,0.6,3.2,3.9,9.3,1.0,0.1,4.1,1.6,27.6
